id,name,domain,direction,subdirection,type,hours_min,hours_avg,hours_max,market_min,market_avg,market_max,specialists_raw,roles_model,blend_rate_cost,primary_role,primary_rate_cost,cost_min,cost_avg,cost_max,impro_price_min,impro_price_avg,impro_price_premium,margin_risk,implied_margin_at_market_avg,implied_margin_at_impro_avg
M-001,Сбор и кластеризация семантического ядра,marketing,SEO,Семантика,Проектная,8,24,60,10000,35000,80000,"SEO-специалист, Junior SEO (парсинг)",SEO(100%)+PM_cost(10%),1217,SEO,1432,10711,32134,80335,15301,51829,146064,NO,8.2,38.0
M-002,Расширение семантического ядра (апдейт),marketing,SEO,Семантика,Разовая,4,12,28,8000,20000,45000,SEO-специалист,SEO(100%)+PM_cost(10%),1217,SEO,1432,5356,16067,37490,7651,25915,68164,NO,19.7,38.0
M-003,Технический SEO-аудит сайта,marketing,SEO,Аудит,Проектная,10,25,50,15000,45000,100000,"SEO-специалист, При необходимости веб-аналитик",ANALYTICS(46%)+SEO(54%)+PM_cost(10%),1534,ANALYTICS,2240,16876,42190,84380,24109,68048,153418,NO,6.2,38.0
M-004,Полный SEO-аудит (тех + контент + ссылки),marketing,SEO,Аудит,Проектная,25,50,90,40000,90000,150000,"Senior SEO, SEO-специалист, Копирайтер (выборочно)",SEO(50%)+CONTENT(50%)+PM_cost(10%),1146,SEO,1432,31510,63019,113434,45014,101644,206244,NO,30.0,38.0
M-005,Аудит индексации и карта покрытия,marketing,SEO,Техническое SEO,Разовая,4,10,20,8000,18000,35000,SEO-специалист,SEO(100%)+PM_cost(10%),1217,SEO,1432,5356,13389,26778,7651,21595,48687,NO,25.6,38.0
M-006,"Настройка robots.txt, sitemap, каноникалов",marketing,SEO,Техническое SEO,Разовая,3,8,16,5000,12000,25000,"SEO-специалист, При необходимости разработчик (смежно)",SEO(100%)+PM_cost(10%),1217,SEO,1432,4017,10711,21423,5739,17276,38951,NO,10.7,38.0
M-007,Составление ТЗ на SEO-тексты,marketing,SEO,Контент-SEO,Разовая,5,3,6,2500,6000,12000,"SEO-специалист, Контент-менеджер",SEO(50%)+CONTENT(50%)+PM_cost(10%),1146,SEO,1432,6302,3781,7562,9003,9003,15000,NO,37.0,58.0
M-008,Онлайн-оптимизация посадочной страницы (on-page),marketing,SEO,On-page,Разовая,2,5,12,3000,8000,18000,SEO-специалист,SEO(100%)+PM_cost(10%),1217,SEO,1432,2678,6695,16067,3826,10798,29213,NO,16.3,38.0
M-009,Составление карты перелинковки,marketing,SEO,Внутренняя перелинковка,Проектная,6,16,35,10000,25000,55000,SEO-специалист,SEO(100%)+PM_cost(10%),1217,SEO,1432,8034,21423,46862,11477,34553,85204,NO,14.3,38.0
M-010,Внедрение микроразметки Schema.org,marketing,SEO,Техническое SEO,Разовая,4,10,24,8000,20000,45000,"SEO-специалист, Frontend (смежно)",FE(50%)+SEO(50%)+PM_cost(10%),1501,FE,2100,6605,16512,39629,9436,26632,72053,NO,17.4,38.0
M-011,Региональное SEO: настройка геозависимого продвижения,marketing,SEO,Локальное SEO,Проектная,10,22,45,20000,45000,90000,SEO-специалист,SEO(100%)+PM_cost(10%),1217,SEO,1432,13389,29456,60251,19127,47510,112500,NO,34.5,38.0
M-012,Оптимизация карточки Яндекс.Бизнес / Google Business,marketing,SEO,Локальное SEO,Разовая,2,5,12,5000,12000,30000,"SEO / Local SEO, SMM (фото)",SEO(50%)+SMM(50%)+PM_cost(10%),1253,SEO,1432,2756,6891,16538,4500,12600,37500,NO,42.6,45.3
M-013,Аудит ссылочного профиля,marketing,SEO,Линкбилдинг,Разовая,6,14,28,12000,28000,55000,SEO-специалист,SEO(100%)+PM_cost(10%),1217,SEO,1432,8034,18745,37490,11477,30234,68750,NO,33.1,38.0
M-014,Линкбилдинг: стратегия и медиаплан ссылок,marketing,SEO,Линкбилдинг,Проектная,8,16,30,15000,35000,70000,"Senior SEO, Digital PR (опц.)",SEO(100%)+PM_cost(10%),1217,SEO,1432,10711,21423,40168,15301,36750,87500,NO,38.8,41.7
M-015,Линкбилдинг: ежемесячное наращивание ссылок,marketing,SEO,Линкбилдинг,Ежемесячная,10,20,40,15000,40000,80000,"SEO-специалист, Link builder",SEO(100%)+PM_cost(10%),1217,SEO,1432,13389,26778,53557,19127,43190,100000,NO,33.1,38.0
M-016,Аудит коммерческих факторов ранжирования,marketing,SEO,Аудит,Разовая,6,14,28,12000,30000,60000,"SEO-специалист, UX (опц.)",SEO(100%)+PM_cost(10%),1217,SEO,1432,8034,18745,37490,11477,31500,75000,NO,37.5,40.5
M-017,SEO-сопровождение (ежемесячное),marketing,SEO,Сопровождение,Ежемесячная,15,35,70,25000,60000,150000,"SEO-специалист, Junior SEO, Аккаунт",SEO(100%)+PM_cost(15%),1217,SEO,1432,20997,48992,97985,29996,79019,187500,NO,18.3,38.0
M-018,Мониторинг позиций и видимости,marketing,SEO,Аналитика SEO,Ежемесячная,3,6,12,5000,12000,25000,"SEO-специалист, Аналитик",ANALYTICS(46%)+SEO(54%)+PM_cost(10%),1534,ANALYTICS,2240,5063,10126,20251,7233,16332,36820,NO,15.6,38.0
M-019,SEO при миграции сайта / смене CMS,marketing,SEO,Техническое SEO,Проектная,15,35,70,30000,70000,140000,"Senior SEO, SEO-специалист",SEO(100%)+PM_cost(10%),1217,SEO,1432,20084,46862,93724,28691,75584,175000,NO,33.1,38.0
M-020,Оптимизация сниппетов (Title/Description/FAQ),marketing,SEO,On-page,Разовая,5,12,25,8000,20000,40000,"SEO-специалист, Копирайтер",SEO(50%)+CONTENT(50%)+PM_cost(10%),1146,SEO,1432,6302,15125,31510,9003,24395,57291,NO,24.4,38.0
M-021,Аудит рекламного кабинета Яндекс.Директ,marketing,Контекст / PPC,Яндекс.Директ,Разовая,6,14,28,15000,35000,70000,"PPC-специалист, Аналитик (опц.)",ANALYTICS(46%)+PPC(54%)+PM_cost(10%),1650,ANALYTICS,2240,10890,25410,50819,15557,40984,92398,NO,27.4,38.0
M-022,Сборка семантики для Директа,marketing,Контекст / PPC,Яндекс.Директ,Проектная,8,20,45,10000,30000,70000,PPC-специалист,PPC(100%)+PM_cost(10%),1432,PPC,1685,12604,31510,70896,18006,50823,128902,YES,-5.0,38.0
M-023,Настройка кампаний Яндекс.Директ с нуля,marketing,Контекст / PPC,Яндекс.Директ,Проектная,12,28,55,15000,40000,80000,"PPC-специалист, Дизайнер (баннеры опц.)",PPC(50%)+DESIGN(50%)+PM_cost(10%),1432,PPC,1685,18906,44113,86651,27009,71150,157547,YES,-10.3,38.0
M-024,Ведение Яндекс.Директ (ежемесячно),marketing,Контекст / PPC,Яндекс.Директ,Ежемесячная,12,30,60,20000,60000,150000,"PPC-специалист, Junior PPC, Аккаунт",PPC(100%)+PM_cost(15%),1432,PPC,1685,19765,49413,98825,28236,79698,187500,NO,17.6,38.0
M-025,Настройка товарных кампаний / фидов Директ,marketing,Контекст / PPC,Яндекс.Директ,Проектная,10,22,45,20000,45000,90000,"PPC-специалист, Фидер/аналитик",ANALYTICS(46%)+PPC(54%)+PM_cost(10%),1650,ANALYTICS,2240,18150,39930,81674,25929,64403,148498,NO,11.3,38.0
M-026,Настройка ретаргетинга и аудиторий Директ,marketing,Контекст / PPC,Яндекс.Директ,Разовая,5,12,24,10000,25000,50000,"PPC-специалист, Аналитик",ANALYTICS(46%)+PPC(54%)+PM_cost(10%),1650,ANALYTICS,2240,9075,21780,43559,12964,35129,79198,NO,12.9,38.0
M-027,Аудит кабинета VK Ads,marketing,Контекст / PPC,VK Ads,Разовая,5,12,24,12000,28000,55000,"PPC / targetologist, SMM (креативы)",PPC(50%)+SMM(50%)+PM_cost(10%),1360,PPC,1685,7482,17958,35915,10800,29400,68750,NO,35.9,38.9
M-028,Настройка VK Ads с нуля,marketing,Контекст / PPC,VK Ads,Проектная,10,22,40,15000,35000,70000,"Targetologist, Дизайнер (опц.)",DESIGN(100%)+PM_cost(10%),1432,DESIGN,1685,15755,34660,63019,22507,55903,114580,NO,1.0,38.0
M-029,Ведение VK Ads (ежемесячно),marketing,Контекст / PPC,VK Ads,Ежемесячная,10,25,50,20000,50000,120000,"Targetologist, Junior",SEO(100%)+PM_cost(15%),1217,SEO,1432,13998,34994,69989,19997,56442,150000,NO,30.0,38.0
M-030,Подготовка технического задания на баннеры РСЯ/VK,marketing,Контекст / PPC,Креативы PPC,Разовая,3,7,14,5000,12000,25000,"PPC, Арт-директор (опц.)",AD(18%)+PPC(82%)+PM_cost(10%),1704,AD,3500,5625,13125,26249,8036,21169,47725,YES,-9.4,38.0
M-031,Настройка рекламы в Яндекс.Картах / продвижение организации,marketing,Контекст / PPC,Локальная реклама,Разовая,3,8,16,8000,18000,35000,PPC / Local,PPC(100%)+PM_cost(10%),1432,PPC,1685,4726,12604,25208,7200,20329,45833,NO,30.0,38.0
M-032,Медиапланирование PPC (Директ + VK),marketing,Контекст / PPC,Стратегия PPC,Проектная,8,16,30,15000,35000,70000,"Senior PPC, Стратег",STRATEGIST(44%)+PPC(56%)+PM_cost(10%),1887,STRATEGIST,2900,16603,33205,62260,23719,53556,113200,NO,5.1,38.0
M-033,Оптимизация посадочных под PPC (CRO-light),marketing,Контекст / PPC,Конверсия,Разовая,5,12,25,10000,25000,55000,"PPC, CRO/UX, Копирайтер",PPC(50%)+CONTENT(50%)+PM_cost(10%),1253,PPC,1685,6893,16544,34466,9847,26684,68750,NO,33.8,38.0
M-034,Настройка UTM-разметки рекламных кампаний,marketing,Контекст / PPC,Трекинг,Разовая,2,5,10,4000,10000,20000,"Аналитик, PPC",ANALYTICS(46%)+PPC(54%)+PM_cost(10%),1650,ANALYTICS,2240,3630,9075,18150,5186,14637,33000,NO,9.2,38.0
M-035,Подключение и базовая настройка Яндекс.Метрики для рекламы,marketing,Контекст / PPC,Аналитика PPC,Разовая,3,7,14,5000,12000,25000,"Аналитик, PPC",ANALYTICS(46%)+PPC(54%)+PM_cost(10%),1650,ANALYTICS,2240,5445,12705,25410,7779,20492,46200,YES,-5.9,38.0
M-036,Аудит социальных сетей бренда,marketing,SMM,Аудит,Разовая,6,12,24,12000,28000,55000,"SMM-стратег, SMM-менеджер",STRATEGIST(44%)+SMM(56%)+PM_cost(10%),1806,STRATEGIST,2900,11921,23842,47684,17030,38455,86698,NO,14.8,38.0
M-037,Разработка SMM-стратегии,marketing,SMM,Стратегия,Проектная,10,20,40,25000,55000,110000,"SMM-стратег, Бренд-менеджер (опц.)",STRATEGIST(44%)+SMM(56%)+PM_cost(10%),1806,STRATEGIST,2900,19868,39737,79474,28383,64092,144498,NO,27.8,38.0
M-038,Оформление сообщества VK,marketing,SMM,Оформление,Разовая,4,8,16,8000,18000,35000,"SMM, Дизайнер",SMM(50%)+DESIGN(50%)+PM_cost(10%),1360,SMM,1516,5986,11972,23943,8551,19310,43750,NO,33.5,38.0
M-039,Контент-план SMM на месяц,marketing,SMM,Контент,Разовая,6,12,22,10000,22000,45000,"SMM-менеджер, Копирайтер",SMM(50%)+CONTENT(50%)+PM_cost(10%),1182,SMM,1516,7798,15596,28592,11140,25155,56250,NO,29.1,38.0
M-040,Ведение сообщества VK (ежемесячно),marketing,SMM,Ведение,Ежемесячная,15,35,60,25000,55000,120000,"SMM-менеджер, Дизайнер, Копирайтер",SMM(33%)+CONTENT(33%)+DESIGN(33%)+PM_cost(10%),1265,SMM,1516,20874,48706,83496,29820,78558,151811,NO,11.4,38.0
M-041,Ведение Telegram-канала (ежемесячно),marketing,SMM,Ведение,Ежемесячная,12,28,50,20000,45000,100000,"SMM / Telegram-editor, Копирайтер",SMM(50%)+CONTENT(50%)+PM_cost(10%),1182,SMM,1516,15596,36390,64983,22280,58694,125000,NO,19.1,38.0
M-042,Комьюнити-менеджмент (модерация и ответы),marketing,SMM,Комьюнити,Ежемесячная,10,25,50,15000,35000,80000,"Community manager, SMM",SMM(100%)+PM_cost(10%),1289,SMM,1516,14175,35436,70873,20250,57155,128860,NO,-1.2,38.0
M-043,Организация конкурса / механики вовлечения,marketing,SMM,Активации,Проектная,8,18,35,15000,35000,70000,"SMM, Дизайнер, Копирайтер",SMM(33%)+CONTENT(33%)+DESIGN(33%)+PM_cost(10%),1265,SMM,1516,11133,25049,48706,15904,40402,88556,NO,28.4,38.0
M-044,Производство пакета статичных постов (дизайн),marketing,SMM,Производство,Разовая,6,14,30,8000,20000,45000,"Графический дизайнер, SMM (ТЗ)",SMM(50%)+DESIGN(50%)+PM_cost(10%),1360,SMM,1516,8979,20951,44894,12827,33792,81625,YES,-4.8,38.0
M-045,Настройка и ведение VK Clips / коротких видео (light),marketing,SMM,Video/SMM,Ежемесячная,12,28,55,25000,55000,110000,"SMM, Motion/монтажёр",SMM(64%)+PRODUCER(36%)+PM_cost(10%),1577,SMM,1516,20820,48581,95426,29743,78356,173502,NO,11.7,38.0
M-046,Работа с блогерами: подбор и посевы (без бюджета),marketing,SMM,Инфлюенс,Проектная,8,18,35,15000,35000,70000,"Influencer manager, SMM",SMM(100%)+PM_cost(10%),1289,SMM,1516,11340,25514,49611,16200,41152,90202,NO,27.1,38.0
M-047,Кризис-коммуникации в соцсетях (разовый пакет),marketing,SMM,Кризис,Разовая,8,20,40,20000,50000,120000,"SMM-стратег, PR, Юрист клиента (смежно)",STRATEGIST(44%)+SMM(56%)+PM_cost(10%),1806,STRATEGIST,2900,15895,39737,79474,22707,64092,150000,NO,20.5,38.0
